,optimizer_name,task_name,n_training_data,mean_rank,lb,ub
49,pfn_cocabo_51,levy,49.0,2.54,2.27,2.83
64,pfn_cocabo_51,levy,64.0,2.52,2.26975,2.76
81,pfn_cocabo_51,levy,81.0,2.69,2.45,2.94
100,pfn_cocabo_51,levy,100.0,2.84,2.54,3.1102499999999997
121,pfn_cocabo_51,levy,121.0,3.1,2.86,3.33
144,pfn_cocabo_51,levy,144.0,3.31,3.08,3.52
169,pfn_cocabo_51,levy,169.0,3.25,3.02,3.47
196,pfn_cocabo_51,levy,196.0,3.36,3.14975,3.5702499999999997
4,pfn_casmopolitan_16,levy,4.0,3.18,2.93,3.45
9,pfn_casmopolitan_16,levy,9.0,3.04,2.79975,3.3002499999999997
16,pfn_casmopolitan_16,levy,16.0,2.69,2.4297500000000003,2.96
25,pfn_casmopolitan_16,levy,25.0,2.91,2.68,3.12025
36,pfn_casmopolitan_16,levy,36.0,2.87,2.66,3.09
49,pfn_casmopolitan_16,levy,49.0,3.4,3.18,3.63
64,pfn_casmopolitan_16,levy,64.0,3.63,3.37,3.87
81,pfn_casmopolitan_16,levy,81.0,3.92,3.7,4.15
100,pfn_casmopolitan_16,levy,100.0,4.07,3.88,4.26
121,pfn_casmopolitan_16,levy,121.0,4.36,4.179749999999999,4.53
144,pfn_casmopolitan_16,levy,144.0,4.53,4.3397499999999996,4.7
169,pfn_casmopolitan_16,levy,169.0,4.58,4.4,4.74
196,pfn_casmopolitan_16,levy,196.0,4.68,4.54,4.82
4,pfn_bodi_24,levy,4.0,4.31,3.99,4.63
9,pfn_bodi_24,levy,9.0,4.02,3.74,4.29
16,pfn_bodi_24,levy,16.0,4.02,3.72,4.32
25,pfn_bodi_24,levy,25.0,4.22,3.9,4.520249999999999
36,pfn_bodi_24,levy,36.0,4.54,4.25,4.79
49,pfn_bodi_24,levy,49.0,5.01,4.76,5.250249999999999
64,pfn_bodi_24,levy,64.0,5.34,5.13,5.53
81,pfn_bodi_24,levy,81.0,5.46,5.2495,5.67
100,pfn_bodi_24,levy,100.0,5.64,5.43975,5.81
121,pfn_bodi_24,levy,121.0,5.71,5.57,5.83
144,pfn_bodi_24,levy,144.0,5.79,5.65,5.91
169,pfn_bodi_24,levy,169.0,5.89,5.79,5.96
196,pfn_bodi_24,levy,196.0,5.88,5.77,5.96
