,optimizer_name,task_name,n_training_data,mean_rank,lb,ub
81,pfn_bodi_24,schwefel,81.0,4.01,3.75,4.25
100,pfn_bodi_24,schwefel,100.0,4.17,3.92,4.41
121,pfn_bodi_24,schwefel,121.0,4.45,4.16,4.71
144,pfn_bodi_24,schwefel,144.0,4.71,4.43,4.95
169,pfn_bodi_24,schwefel,169.0,4.89,4.64975,5.13
196,pfn_bodi_24,schwefel,196.0,4.98,4.7597499999999995,5.180249999999999
4,cocabo,michalewicz,4.0,4.66,4.17,5.14
9,cocabo,michalewicz,9.0,5.27,4.81975,5.67
16,cocabo,michalewicz,16.0,5.12,4.73,5.48
25,cocabo,michalewicz,25.0,4.54,4.11,4.98
36,cocabo,michalewicz,36.0,4.53,4.0897499999999996,4.99025
49,cocabo,michalewicz,49.0,3.99,3.61,4.3302499999999995
64,cocabo,michalewicz,64.0,3.95,3.53975,4.3605
81,cocabo,michalewicz,81.0,3.59,3.2,4.0
100,cocabo,michalewicz,100.0,3.69,3.28,4.11
121,cocabo,michalewicz,121.0,3.31,2.9,3.75025
144,cocabo,michalewicz,144.0,3.28,2.92,3.62025
169,cocabo,michalewicz,169.0,3.13,2.75,3.52025
196,cocabo,michalewicz,196.0,2.82,2.5,3.1302499999999998
4,casmopolitan,michalewicz,4.0,4.41,3.9297500000000003,4.87
9,casmopolitan,michalewicz,9.0,4.79,4.4,5.20025
16,casmopolitan,michalewicz,16.0,4.97,4.519749999999999,5.41025
25,casmopolitan,michalewicz,25.0,4.64,4.24,5.050249999999999
36,casmopolitan,michalewicz,36.0,4.72,4.309749999999999,5.100249999999999
49,casmopolitan,michalewicz,49.0,3.82,3.4,4.22
64,casmopolitan,michalewicz,64.0,4.16,3.79,4.52
81,casmopolitan,michalewicz,81.0,3.51,3.14,3.89
100,casmopolitan,michalewicz,100.0,3.56,3.21,3.88
121,casmopolitan,michalewicz,121.0,3.42,3.03975,3.78
144,casmopolitan,michalewicz,144.0,3.53,3.20975,3.86
169,casmopolitan,michalewicz,169.0,3.23,2.92,3.5702499999999997
196,casmopolitan,michalewicz,196.0,3.28,2.9497500000000003,3.63
4,bodi,michalewicz,4.0,3.83,3.39975,4.31
9,bodi,michalewicz,9.0,5.12,4.73975,5.520249999999999
16,bodi,michalewicz,16.0,5.36,5.0,5.72
25,bodi,michalewicz,25.0,5.26,4.88,5.65
36,bodi,michalewicz,36.0,5.34,4.97,5.7
49,bodi,michalewicz,49.0,5.38,5.0497499999999995,5.68
64,bodi,michalewicz,64.0,5.2,4.87,5.5104999999999995
81,bodi,michalewicz,81.0,4.91,4.5,5.31
100,bodi,michalewicz,100.0,5.03,4.65,5.38
121,bodi,michalewicz,121.0,4.48,4.17,4.81
144,bodi,michalewicz,144.0,4.49,4.14975,4.84
169,bodi,michalewicz,169.0,4.2,3.80975,4.590249999999999
196,bodi,michalewicz,196.0,4.0,3.64,4.35
4,dummy_baseline,michalewicz,4.0,3.21,2.94,3.48025
9,dummy_baseline,michalewicz,9.0,3.28,3.0,3.5902499999999997
16,dummy_baseline,michalewicz,16.0,3.61,3.29,3.96
25,dummy_baseline,michalewicz,25.0,4.2,3.84,4.55
36,dummy_baseline,michalewicz,36.0,4.74,4.42,5.03
49,dummy_baseline,michalewicz,49.0,5.51,5.19,5.78
64,dummy_baseline,michalewicz,64.0,5.51,5.15,5.83
81,dummy_baseline,michalewicz,81.0,5.83,5.5097499999999995,6.15
100,dummy_baseline,michalewicz,100.0,6.03,5.7197499999999994,6.28025
121,dummy_baseline,michalewicz,121.0,6.35,6.10975,6.6
144,dummy_baseline,michalewicz,144.0,6.45,6.2,6.71
169,dummy_baseline,michalewicz,169.0,6.49,6.269749999999999,6.69
196,dummy_baseline,michalewicz,196.0,6.61,6.38,6.83
4,pfn_cocabo_51,michalewicz,4.0,3.69,3.38,4.010249999999999
9,pfn_cocabo_51,michalewicz,9.0,2.8,2.47975,3.12
16,pfn_cocabo_51,michalewicz,16.0,2.18,1.94,2.41
25,pfn_cocabo_51,michalewicz,25.0,2.52,2.25,2.81
36,pfn_cocabo_51,michalewicz,36.0,2.13,1.92,2.35
49,pfn_cocabo_51,michalewicz,49.0,2.15,1.94,2.38
64,pfn_cocabo_51,michalewicz,64.0,2.23,2.03975,2.44
81,pfn_cocabo_51,michalewicz,81.0,2.41,2.21,2.62
100,pfn_cocabo_51,michalewicz,100.0,2.26,2.06,2.47
121,pfn_cocabo_51,michalewicz,121.0,2.44,2.25,2.66
144,pfn_cocabo_51,michalewicz,144.0,2.36,2.17,2.56
169,pfn_cocabo_51,michalewicz,169.0,2.63,2.43,2.83
196,pfn_cocabo_51,michalewicz,196.0,2.71,2.49,2.92
4,pfn_casmopolitan_16,michalewicz,4.0,3.53,3.23,3.83
9,pfn_casmopolitan_16,michalewicz,9.0,2.82,2.57,3.08
16,pfn_casmopolitan_16,michalewicz,16.0,2.8,2.58,3.04
25,pfn_casmopolitan_16,michalewicz,25.0,2.74,2.48,2.97
36,pfn_casmopolitan_16,michalewicz,36.0,2.59,2.37,2.81
49,pfn_casmopolitan_16,michalewicz,49.0,2.64,2.43,2.85
64,pfn_casmopolitan_16,michalewicz,64.0,2.71,2.46,2.99
81,pfn_casmopolitan_16,michalewicz,81.0,3.1,2.83,3.37
100,pfn_casmopolitan_16,michalewicz,100.0,2.72,2.43,2.98
121,pfn_casmopolitan_16,michalewicz,121.0,3.11,2.82,3.39
144,pfn_casmopolitan_16,michalewicz,144.0,2.83,2.56,3.1
169,pfn_casmopolitan_16,michalewicz,169.0,3.08,2.78975,3.35
196,pfn_casmopolitan_16,michalewicz,196.0,3.14,2.86,3.43
4,pfn_bodi_24,michalewicz,4.0,4.67,4.37,4.970249999999999
9,pfn_bodi_24,michalewicz,9.0,3.92,3.63,4.2
16,pfn_bodi_24,michalewicz,16.0,3.96,3.7197500000000003,4.21
25,pfn_bodi_24,michalewicz,25.0,4.1,3.85,4.36
36,pfn_bodi_24,michalewicz,36.0,3.95,3.69,4.21
49,pfn_bodi_24,michalewicz,49.0,4.51,4.2197499999999994,4.81
64,pfn_bodi_24,michalewicz,64.0,4.24,3.95,4.51
81,pfn_bodi_24,michalewicz,81.0,4.65,4.38,4.91
100,pfn_bodi_24,michalewicz,100.0,4.71,4.429749999999999,4.98
121,pfn_bodi_24,michalewicz,121.0,4.89,4.62,5.140249999999999
144,pfn_bodi_24,michalewicz,144.0,5.06,4.82,5.3
169,pfn_bodi_24,michalewicz,169.0,5.24,5.03,5.44
196,pfn_bodi_24,michalewicz,196.0,5.44,5.2197499999999994,5.63
4,cocabo,griewank,4.0,4.18,3.7197500000000003,4.630249999999999
9,cocabo,griewank,9.0,4.91,4.49,5.2902499999999995
16,cocabo,griewank,16.0,4.61,4.16,5.07
25,cocabo,griewank,25.0,3.85,3.42,4.28
36,cocabo,griewank,36.0,4.03,3.56,4.47
49,cocabo,griewank,49.0,2.68,2.33,3.06025
64,cocabo,griewank,64.0,2.28,1.99,2.59
81,cocabo,griewank,81.0,1.75,1.55,2.0
100,cocabo,griewank,100.0,1.56,1.39,1.74
121,cocabo,griewank,121.0,1.53,1.36,1.7102499999999998
144,cocabo,griewank,144.0,1.41,1.27,1.55
169,cocabo,griewank,169.0,1.51,1.35,1.6702499999999998
196,cocabo,griewank,196.0,1.59,1.41,1.8
4,casmopolitan,griewank,4.0,4.59,4.14975,5.04
9,casmopolitan,griewank,9.0,4.59,4.15,5.000249999999999
16,casmopolitan,griewank,16.0,4.55,4.16975,4.96
25,casmopolitan,griewank,25.0,4.45,3.99,4.92
36,casmopolitan,griewank,36.0,3.82,3.45,4.220249999999999
49,casmopolitan,griewank,49.0,3.49,3.12,3.86
64,casmopolitan,griewank,64.0,3.04,2.72975,3.38
81,casmopolitan,griewank,81.0,2.89,2.63,3.16
100,casmopolitan,griewank,100.0,2.73,2.48,3.0
121,casmopolitan,griewank,121.0,2.37,2.18,2.57
144,casmopolitan,griewank,144.0,2.57,2.39,2.76
169,casmopolitan,griewank,169.0,2.68,2.45,2.9
196,casmopolitan,griewank,196.0,2.68,2.49,2.86
4,bodi,griewank,4.0,4.35,3.87,4.78
9,bodi,griewank,9.0,5.14,4.74,5.5
16,bodi,griewank,16.0,5.04,4.62975,5.46
25,bodi,griewank,25.0,4.79,4.4,5.17
36,bodi,griewank,36.0,4.34,3.93,4.7604999999999995
49,bodi,griewank,49.0,4.03,3.66,4.41
64,bodi,griewank,64.0,3.58,3.23,3.95025
81,bodi,griewank,81.0,3.24,2.9297500000000003,3.54025
100,bodi,griewank,100.0,3.05,2.8,3.31
121,bodi,griewank,121.0,2.66,2.49,2.85
144,bodi,griewank,144.0,2.62,2.42,2.82
169,bodi,griewank,169.0,2.56,2.36,2.78
196,bodi,griewank,196.0,2.39,2.2197500000000003,2.57
4,dummy_baseline,griewank,4.0,3.64,3.34,3.93
9,dummy_baseline,griewank,9.0,4.02,3.69,4.35
16,dummy_baseline,griewank,16.0,4.61,4.3,4.93
25,dummy_baseline,griewank,25.0,5.5,5.22975,5.76
36,dummy_baseline,griewank,36.0,5.92,5.69,6.14
49,dummy_baseline,griewank,49.0,6.47,6.28,6.64
64,dummy_baseline,griewank,64.0,6.9,6.84,6.95
81,dummy_baseline,griewank,81.0,6.95,6.91,6.99
100,dummy_baseline,griewank,100.0,6.99,6.96,7.0
121,dummy_baseline,griewank,121.0,7.0,7.0,7.0
144,dummy_baseline,griewank,144.0,7.0,7.0,7.0
169,dummy_baseline,griewank,169.0,7.0,7.0,7.0
196,dummy_baseline,griewank,196.0,7.0,7.0,7.0
4,pfn_cocabo_51,griewank,4.0,3.43,3.1,3.78
9,pfn_cocabo_51,griewank,9.0,2.56,2.26,2.87025
16,pfn_cocabo_51,griewank,16.0,2.59,2.33,2.87
25,pfn_cocabo_51,griewank,25.0,2.43,2.17,2.71
36,pfn_cocabo_51,griewank,36.0,2.45,2.2,2.67
49,pfn_cocabo_51,griewank,49.0,2.62,2.37975,2.86
64,pfn_cocabo_51,griewank,64.0,2.62,2.4297500000000003,2.82
81,pfn_cocabo_51,griewank,81.0,3.06,2.83,3.2802499999999997
100,pfn_cocabo_51,griewank,100.0,3.27,3.05,3.48025
121,pfn_cocabo_51,griewank,121.0,3.62,3.46,3.77
144,pfn_cocabo_51,griewank,144.0,3.57,3.39,3.73
169,pfn_cocabo_51,griewank,169.0,3.51,3.32,3.67
196,pfn_cocabo_51,griewank,196.0,3.49,3.28,3.68
4,pfn_casmopolitan_16,griewank,4.0,3.34,3.07,3.65
9,pfn_casmopolitan_16,griewank,9.0,2.75,2.4897500000000004,3.0102499999999996
16,pfn_casmopolitan_16,griewank,16.0,2.67,2.4097500000000003,2.94
25,pfn_casmopolitan_16,griewank,25.0,2.83,2.58,3.08
36,pfn_casmopolitan_16,griewank,36.0,2.92,2.64,3.19025
49,pfn_casmopolitan_16,griewank,49.0,3.57,3.28,3.84
64,pfn_casmopolitan_16,griewank,64.0,3.96,3.76975,4.16
81,pfn_casmopolitan_16,griewank,81.0,4.37,4.2,4.54
100,pfn_casmopolitan_16,griewank,100.0,4.5,4.35,4.66
121,pfn_casmopolitan_16,griewank,121.0,4.88,4.77,4.96
144,pfn_casmopolitan_16,griewank,144.0,4.93,4.82,5.03
169,pfn_casmopolitan_16,griewank,169.0,4.83,4.68,4.96
196,pfn_casmopolitan_16,griewank,196.0,4.88,4.76,4.98
4,pfn_bodi_24,griewank,4.0,4.47,4.16,4.81
9,pfn_bodi_24,griewank,9.0,4.03,3.76,4.3
16,pfn_bodi_24,griewank,16.0,3.93,3.65,4.210249999999999
25,pfn_bodi_24,griewank,25.0,4.15,3.9,4.41
36,pfn_bodi_24,griewank,36.0,4.52,4.26,4.76
49,pfn_bodi_24,griewank,49.0,5.14,4.91,5.35
64,pfn_bodi_24,griewank,64.0,5.62,5.49,5.75
81,pfn_bodi_24,griewank,81.0,5.74,5.6,5.87
100,pfn_bodi_24,griewank,100.0,5.9,5.8,5.98
121,pfn_bodi_24,griewank,121.0,5.94,5.86975,5.99
144,pfn_bodi_24,griewank,144.0,5.9,5.83,5.96
169,pfn_bodi_24,griewank,169.0,5.91,5.82975,5.97
196,pfn_bodi_24,griewank,196.0,5.97,5.91,6.0
4,cocabo,rosenbrock,4.0,4.61,4.16,5.08
9,cocabo,rosenbrock,9.0,4.85,4.389749999999999,5.28025
16,cocabo,rosenbrock,16.0,4.48,3.96,4.94
25,cocabo,rosenbrock,25.0,4.4,3.98,4.8
36,cocabo,rosenbrock,36.0,3.07,2.65,3.47025
49,cocabo,rosenbrock,49.0,2.52,2.22,2.84
64,cocabo,rosenbrock,64.0,1.97,1.69,2.26
81,cocabo,rosenbrock,81.0,1.76,1.56,1.9802499999999998
100,cocabo,rosenbrock,100.0,1.76,1.56,1.98
121,cocabo,rosenbrock,121.0,1.58,1.4,1.8
144,cocabo,rosenbrock,144.0,1.55,1.37,1.7702499999999999
169,cocabo,rosenbrock,169.0,1.62,1.44,1.80025
196,cocabo,rosenbrock,196.0,1.62,1.44,1.81
4,casmopolitan,rosenbrock,4.0,4.49,4.07,4.920249999999999
9,casmopolitan,rosenbrock,9.0,4.59,4.16975,5.05
16,casmopolitan,rosenbrock,16.0,4.57,4.16975,5.02
25,casmopolitan,rosenbrock,25.0,3.7,3.27,4.13
36,casmopolitan,rosenbrock,36.0,3.4,3.03,3.78
49,casmopolitan,rosenbrock,49.0,3.15,2.83,3.49025
64,casmopolitan,rosenbrock,64.0,2.78,2.52,3.0302499999999997
81,casmopolitan,rosenbrock,81.0,2.49,2.28,2.7
100,casmopolitan,rosenbrock,100.0,2.5,2.30975,2.7
121,casmopolitan,rosenbrock,121.0,2.5,2.32,2.68025
144,casmopolitan,rosenbrock,144.0,2.41,2.24,2.59
169,casmopolitan,rosenbrock,169.0,2.37,2.18,2.54
196,casmopolitan,rosenbrock,196.0,2.49,2.31,2.68
4,bodi,rosenbrock,4.0,4.82,4.36,5.250249999999999
9,bodi,rosenbrock,9.0,4.63,4.23,5.0305
16,bodi,rosenbrock,16.0,4.75,4.2997499999999995,5.18
25,bodi,rosenbrock,25.0,4.17,3.78975,4.63
36,bodi,rosenbrock,36.0,4.27,3.85,4.69
49,bodi,rosenbrock,49.0,3.3,2.95,3.66
64,bodi,rosenbrock,64.0,3.25,2.98,3.52
81,bodi,rosenbrock,81.0,2.93,2.69,3.18
100,bodi,rosenbrock,100.0,2.84,2.61,3.08
121,bodi,rosenbrock,121.0,2.65,2.45,2.84
144,bodi,rosenbrock,144.0,2.53,2.37,2.70025
169,bodi,rosenbrock,169.0,2.45,2.29,2.61
196,bodi,rosenbrock,196.0,2.39,2.22,2.57
4,dummy_baseline,rosenbrock,4.0,3.56,3.26975,3.85025
9,dummy_baseline,rosenbrock,9.0,4.31,4.03,4.6
16,dummy_baseline,rosenbrock,16.0,4.83,4.559749999999999,5.12
25,dummy_baseline,rosenbrock,25.0,5.9,5.69,6.090249999999999
36,dummy_baseline,rosenbrock,36.0,6.42,6.27,6.57
49,dummy_baseline,rosenbrock,49.0,6.82,6.72,6.9
64,dummy_baseline,rosenbrock,64.0,6.98,6.95,7.0
81,dummy_baseline,rosenbrock,81.0,7.0,7.0,7.0
100,dummy_baseline,rosenbrock,100.0,7.0,7.0,7.0
121,dummy_baseline,rosenbrock,121.0,7.0,7.0,7.0
144,dummy_baseline,rosenbrock,144.0,7.0,7.0,7.0
169,dummy_baseline,rosenbrock,169.0,7.0,7.0,7.0
196,dummy_baseline,rosenbrock,196.0,7.0,7.0,7.0
4,pfn_cocabo_51,rosenbrock,4.0,3.33,3.02,3.67
9,pfn_cocabo_51,rosenbrock,9.0,2.79,2.49,3.09
16,pfn_cocabo_51,rosenbrock,16.0,2.66,2.32,2.99025
25,pfn_cocabo_51,rosenbrock,25.0,2.64,2.37975,2.92025
36,pfn_cocabo_51,rosenbrock,36.0,2.54,2.33,2.77
49,pfn_cocabo_51,rosenbrock,49.0,2.85,2.58975,3.11
64,pfn_cocabo_51,rosenbrock,64.0,2.91,2.67,3.16025
81,pfn_cocabo_51,rosenbrock,81.0,3.24,3.0,3.47
100,pfn_cocabo_51,rosenbrock,100.0,3.25,3.01975,3.46025
121,pfn_cocabo_51,rosenbrock,121.0,3.4,3.2,3.58
144,pfn_cocabo_51,rosenbrock,144.0,3.59,3.43,3.73
169,pfn_cocabo_51,rosenbrock,169.0,3.58,3.42,3.73
196,pfn_cocabo_51,rosenbrock,196.0,3.62,3.44,3.7802499999999997
4,pfn_casmopolitan_16,rosenbrock,4.0,3.15,2.9,3.43025
9,pfn_casmopolitan_16,rosenbrock,9.0,2.89,2.61,3.18
16,pfn_casmopolitan_16,rosenbrock,16.0,2.74,2.48,2.99
25,pfn_casmopolitan_16,rosenbrock,25.0,2.95,2.7,3.19
36,pfn_casmopolitan_16,rosenbrock,36.0,3.46,3.23,3.68
49,pfn_casmopolitan_16,rosenbrock,49.0,3.98,3.77975,4.170249999999999
64,pfn_casmopolitan_16,rosenbrock,64.0,4.35,4.18,4.5
81,pfn_casmopolitan_16,rosenbrock,81.0,4.64,4.5,4.78
100,pfn_casmopolitan_16,rosenbrock,100.0,4.69,4.54,4.81
121,pfn_casmopolitan_16,rosenbrock,121.0,4.89,4.81,4.96
144,pfn_casmopolitan_16,rosenbrock,144.0,5.01,4.94,5.08
169,pfn_casmopolitan_16,rosenbrock,169.0,5.02,4.98,5.07
196,pfn_casmopolitan_16,rosenbrock,196.0,4.94,4.86,5.01
4,pfn_bodi_24,rosenbrock,4.0,4.04,3.74975,4.34
9,pfn_bodi_24,rosenbrock,9.0,3.94,3.6797500000000003,4.26
16,pfn_bodi_24,rosenbrock,16.0,3.97,3.70975,4.24
25,pfn_bodi_24,rosenbrock,25.0,4.24,3.9297500000000003,4.54
36,pfn_bodi_24,rosenbrock,36.0,4.84,4.57975,5.09
49,pfn_bodi_24,rosenbrock,49.0,5.38,5.17,5.59
64,pfn_bodi_24,rosenbrock,64.0,5.76,5.62,5.87
81,pfn_bodi_24,rosenbrock,81.0,5.94,5.89,5.98
100,pfn_bodi_24,rosenbrock,100.0,5.96,5.92,5.99
121,pfn_bodi_24,rosenbrock,121.0,5.98,5.95,6.0
144,pfn_bodi_24,rosenbrock,144.0,5.91,5.84,5.97
169,pfn_bodi_24,rosenbrock,169.0,5.96,5.92,5.99
196,pfn_bodi_24,rosenbrock,196.0,5.94,5.87,5.99
4,cocabo,levy,4.0,4.47,3.97,4.94
9,cocabo,levy,9.0,4.59,4.15,5.020249999999999
16,cocabo,levy,16.0,4.65,4.2,5.12
25,cocabo,levy,25.0,4.14,3.72,4.59
36,cocabo,levy,36.0,3.63,3.20975,4.05
49,cocabo,levy,49.0,2.84,2.43975,3.25
64,cocabo,levy,64.0,2.32,2.03,2.6502499999999998
81,cocabo,levy,81.0,2.35,2.02975,2.69
100,cocabo,levy,100.0,2.07,1.81,2.36
121,cocabo,levy,121.0,1.96,1.6997499999999999,2.25
144,cocabo,levy,144.0,1.76,1.51975,1.9902499999999999
169,cocabo,levy,169.0,1.72,1.52,1.9302499999999998
196,cocabo,levy,196.0,1.61,1.41,1.83
4,casmopolitan,levy,4.0,4.66,4.20975,5.1
9,casmopolitan,levy,9.0,4.44,4.0195,4.84
16,casmopolitan,levy,16.0,4.79,4.39,5.16
25,casmopolitan,levy,25.0,4.28,3.86,4.70025
36,casmopolitan,levy,36.0,3.89,3.54,4.28025
49,casmopolitan,levy,49.0,3.43,3.08,3.75
64,casmopolitan,levy,64.0,3.39,3.08,3.72
81,casmopolitan,levy,81.0,2.94,2.66,3.27
100,casmopolitan,levy,100.0,2.86,2.56,3.14
121,casmopolitan,levy,121.0,2.47,2.24,2.71
144,casmopolitan,levy,144.0,2.43,2.22,2.66025
169,casmopolitan,levy,169.0,2.61,2.39,2.87
196,casmopolitan,levy,196.0,2.61,2.41,2.81
4,bodi,levy,4.0,4.66,4.17,5.1202499999999995
9,bodi,levy,9.0,5.3,4.92,5.65025
16,bodi,levy,16.0,5.04,4.65,5.36025
25,bodi,levy,25.0,4.79,4.41,5.19
36,bodi,levy,36.0,4.85,4.46,5.21
49,bodi,levy,49.0,4.32,3.9497500000000003,4.72
64,bodi,levy,64.0,3.99,3.66,4.350249999999999
81,bodi,levy,81.0,3.76,3.42,4.090249999999999
100,bodi,levy,100.0,3.55,3.29,3.8
121,bodi,levy,121.0,3.43,3.16,3.71
144,bodi,levy,144.0,3.18,2.93975,3.41025
169,bodi,levy,169.0,2.95,2.73,3.19
196,bodi,levy,196.0,2.86,2.62975,3.1
4,dummy_baseline,levy,4.0,3.57,3.28,3.84
9,dummy_baseline,levy,9.0,4.02,3.7,4.350249999999999
16,dummy_baseline,levy,16.0,4.43,4.11,4.74025
25,dummy_baseline,levy,25.0,5.4,5.12,5.71
36,dummy_baseline,levy,36.0,5.97,5.72,6.2
49,dummy_baseline,levy,49.0,6.46,6.28,6.63
64,dummy_baseline,levy,64.0,6.81,6.7,6.9
81,dummy_baseline,levy,81.0,6.88,6.81,6.95
100,dummy_baseline,levy,100.0,6.97,6.92,7.0
121,dummy_baseline,levy,121.0,6.97,6.93,7.0
144,dummy_baseline,levy,144.0,7.0,7.0,7.0
169,dummy_baseline,levy,169.0,7.0,7.0,7.0
196,dummy_baseline,levy,196.0,7.0,7.0,7.0
4,pfn_cocabo_51,levy,4.0,3.15,2.84,3.5
9,pfn_cocabo_51,levy,9.0,2.59,2.29,2.9
16,pfn_cocabo_51,levy,16.0,2.38,2.11,2.68
25,pfn_cocabo_51,levy,25.0,2.26,2.00975,2.5
36,pfn_cocabo_51,levy,36.0,2.25,1.99,2.54
