,optimizer,n_dims,mean_overlap,lb,ub
2,pfn_cocabo_51,2,0.8711850964894858,0.8615272368258224,0.8802106227193648
3,pfn_cocabo_51,3,0.8323610103322814,0.8239316911072487,0.8403228765845532
4,pfn_cocabo_51,4,0.8496559955268759,0.8439954138704954,0.8554787123275974
5,pfn_cocabo_51,5,0.8399690182132747,0.8341522537747683,0.8457391119264942
6,pfn_cocabo_51,6,0.8312312240666307,0.8233866854453569,0.8393668472619003
7,pfn_cocabo_51,7,0.8125791935394776,0.8058900129807304,0.8191795270753567
8,pfn_cocabo_51,8,0.7989815130682021,0.7934635524624037,0.8040568873060253
9,pfn_cocabo_51,9,0.7942257407655442,0.7875968859453798,0.8010671843452063
10,pfn_cocabo_51,10,0.7785024572183122,0.7727646609707606,0.7847886930573165
11,pfn_cocabo_51,11,0.7572325942775331,0.7454269677075082,0.7684938165942637
12,pfn_cocabo_51,12,0.774047213508542,0.7660589978974188,0.7813903361920285
13,pfn_cocabo_51,13,0.7510649418067895,0.7414643514245071,0.760900256574762
14,pfn_cocabo_51,14,0.7910983463057829,0.7839122425000723,0.7978527783858167
15,pfn_cocabo_51,15,0.7206650789225795,0.7103824648187737,0.7307946095679586
16,pfn_cocabo_51,16,0.777372080355502,0.7704745258240148,0.7848711954285568
17,pfn_cocabo_51,17,0.752237238234925,0.744929550215415,0.7588607881860151
18,pfn_cocabo_51,18,0.7384669517949309,0.7254991119658164,0.751143709617688
2,pfn_casmopolitan_16,2,0.8700966490071217,0.8601685998130383,0.8792693729606406
3,pfn_casmopolitan_16,3,0.8160057612558639,0.8072252265867151,0.8243576934178278
4,pfn_casmopolitan_16,4,0.8391961267515478,0.8331196228429796,0.8453446202393902
5,pfn_casmopolitan_16,5,0.8352686316698605,0.8296535436157663,0.8406836431889809
6,pfn_casmopolitan_16,6,0.8153502162610762,0.8071184483106895,0.8233906856347335
7,pfn_casmopolitan_16,7,0.8232358955929808,0.817577675004274,0.8280857955829274
8,pfn_casmopolitan_16,8,0.8172521452387379,0.8127418855119466,0.8213669095580065
9,pfn_casmopolitan_16,9,0.8107743536408152,0.8039135068107244,0.8172992594615609
10,pfn_casmopolitan_16,10,0.811001307810421,0.8062608400639193,0.8155368282996774
11,pfn_casmopolitan_16,11,0.8143233177046536,0.8075027143133793,0.8215795022412699
12,pfn_casmopolitan_16,12,0.8129140026474188,0.8079515576027293,0.8180508250386481
13,pfn_casmopolitan_16,13,0.8103769200596416,0.8045573380577752,0.8158358443597857
14,pfn_casmopolitan_16,14,0.8079840115092503,0.8011296051482533,0.814569024015993
15,pfn_casmopolitan_16,15,0.8027618913278088,0.7968393605573266,0.8086923724875859
16,pfn_casmopolitan_16,16,0.7999050015940744,0.794220887940202,0.8055565489747508
17,pfn_casmopolitan_16,17,0.7929946461773343,0.7885684007910946,0.7972337692606347
18,pfn_casmopolitan_16,18,0.7847363712361981,0.7760573472600159,0.7931321968913438
2,pfn_bodi_24,2,0.7988027308626587,0.7924061673278213,0.8051940829083025
3,pfn_bodi_24,3,0.7720829084851372,0.7638460883595323,0.7797711830927156
4,pfn_bodi_24,4,0.7527831223102803,0.7450857494603459,0.759748332407064
5,pfn_bodi_24,5,0.7546445663338194,0.7456555586592832,0.7636980196741147
6,pfn_bodi_24,6,0.7561041995487552,0.7431723897604898,0.7682715625742361
7,pfn_bodi_24,7,0.7540785597602017,0.7436547399072524,0.7648511660432762
8,pfn_bodi_24,8,0.7415495343185022,0.7323336840131628,0.7505098587621669
9,pfn_bodi_24,9,0.7669131784523897,0.7570502857030761,0.7761160591931923
