,optimizer,iteration,mean_time,lb,ub
2,cocabo,2,1.5043227738804288,1.479760942922698,1.5266139780481656
3,cocabo,3,1.5046943969196744,1.4825227115882769,1.5274138370487427
4,cocabo,4,1.5036198801464504,1.481636919644144,1.5251293823454115
5,cocabo,5,1.4985033710797628,1.4759286359283659,1.5216586909360357
6,cocabo,6,1.4932660539944966,1.4723605766561296,1.5135898527503013
7,cocabo,7,1.4963368111186557,1.4743144791324934,1.5202429172396659
8,cocabo,8,1.5051529288291932,1.4830394165383445,1.5264191694723235
9,cocabo,9,1.500188402334849,1.4766107234689925,1.522168394194709
10,cocabo,10,1.501355731487274,1.4795122970143955,1.5216560396552086
11,cocabo,11,1.5034928149647182,1.4818270331952306,1.5226968147026168
12,cocabo,12,1.510416845480601,1.4887482305367787,1.531411526799202
13,cocabo,13,1.5072415338622198,1.4858782984481917,1.53019302484062
14,cocabo,14,1.5069686624738905,1.4852573882540068,1.5294793647858833
15,cocabo,15,1.5074194100168017,1.4839281219906277,1.52873810172081
16,cocabo,16,1.5158339222272237,1.4925922099086972,1.5374527259998851
17,cocabo,17,1.5195420053270128,1.4974843190775977,1.542116003897455
18,cocabo,18,1.518696986304389,1.4951680075128873,1.5391055473022992
19,cocabo,19,1.513550047079722,1.4925183174676366,1.5351523746384514
20,cocabo,20,1.5129710104730394,1.4918775598870384,1.5348043834169707
21,cocabo,21,1.518331307835049,1.495904091762172,1.5383807976378336
22,cocabo,22,1.5215686665640937,1.5004927895797624,1.5433808393610848
23,cocabo,23,1.5218040903409322,1.5009530414475334,1.5430837900439898
24,cocabo,24,1.5321778827243382,1.5089430522587564,1.5533846098515722
25,cocabo,25,1.5288998034265306,1.5077905719810063,1.5499391202131907
26,cocabo,26,1.525861510965559,1.5059184664156702,1.5476281119717492
27,cocabo,27,1.5307424743970235,1.508459386659993,1.5509399412737952
28,cocabo,28,1.5360533634821574,1.515807462731997,1.5569253438380029
29,cocabo,29,1.5309423512882656,1.5091467181510396,1.5520882243249152
30,cocabo,30,1.538569486141205,1.517266955110762,1.5622362560033798
31,cocabo,31,1.527800562646654,1.5055814044674238,1.5510151299834252
32,cocabo,32,1.5323139071464538,1.510604583852821,1.5554713328348266
33,cocabo,33,1.5341124176979064,1.5130684108866586,1.5557055841883023
34,cocabo,34,1.5382135960790846,1.5160567990938822,1.5593807794319259
35,cocabo,35,1.5424723082118563,1.520757990943061,1.564788891143269
36,cocabo,36,1.5406399104330275,1.5166553800304732,1.5624618268675274
37,cocabo,37,1.543955569797092,1.5221373416648971,1.5672102561261918
38,cocabo,38,1.5428957131173875,1.5223311756716835,1.5648179381423526
39,cocabo,39,1.5418654998143515,1.5197878503137165,1.5650157957606845
40,cocabo,40,1.549319318930308,1.5254792389273641,1.5702249013384184
41,cocabo,41,1.5474735763337877,1.5247137287921375,1.569518886572785
