,optimizer,task,iteration,mean_rank,lb,ub
44,random,xgboost_opt,44.0,6.183333333333334,5.75,6.566666666666666
45,random,xgboost_opt,45.0,6.2,5.7162500000000005,6.583333333333333
46,random,xgboost_opt,46.0,6.233333333333333,5.75,6.616666666666666
47,random,xgboost_opt,47.0,6.25,5.816666666666666,6.616666666666666
48,random,xgboost_opt,48.0,6.25,5.783333333333333,6.616666666666666
49,random,xgboost_opt,49.0,6.233333333333333,5.8,6.616666666666666
50,random,xgboost_opt,50.0,6.25,5.833333333333333,6.633333333333334
51,random,xgboost_opt,51.0,6.05,5.533333333333333,6.483333333333333
52,random,xgboost_opt,52.0,6.1,5.583333333333333,6.516666666666667
53,random,xgboost_opt,53.0,5.983333333333333,5.5,6.43375
54,random,xgboost_opt,54.0,6.033333333333333,5.51625,6.483333333333333
55,random,xgboost_opt,55.0,6.033333333333333,5.55,6.5
56,random,xgboost_opt,56.0,6.033333333333333,5.55,6.483333333333333
57,random,xgboost_opt,57.0,6.033333333333333,5.483333333333333,6.466666666666667
58,random,xgboost_opt,58.0,6.066666666666666,5.6,6.5
59,random,xgboost_opt,59.0,6.116666666666666,5.716666666666667,6.5
60,random,xgboost_opt,60.0,6.116666666666666,5.666666666666667,6.5
61,random,xgboost_opt,61.0,6.116666666666666,5.7,6.500416666666666
62,random,xgboost_opt,62.0,6.133333333333334,5.766666666666667,6.5
63,random,xgboost_opt,63.0,6.133333333333334,5.716666666666667,6.48375
64,random,xgboost_opt,64.0,6.15,5.716666666666667,6.516666666666667
65,random,xgboost_opt,65.0,6.183333333333334,5.766666666666667,6.55
66,random,xgboost_opt,66.0,6.2,5.766666666666667,6.566666666666666
67,random,xgboost_opt,67.0,6.216666666666667,5.8,6.566666666666666
68,random,xgboost_opt,68.0,6.233333333333333,5.783333333333333,6.583333333333333
69,random,xgboost_opt,69.0,6.233333333333333,5.85,6.6
70,random,xgboost_opt,70.0,6.233333333333333,5.833333333333333,6.6
71,random,xgboost_opt,71.0,6.233333333333333,5.833333333333333,6.583333333333333
72,random,xgboost_opt,72.0,6.233333333333333,5.833333333333333,6.616666666666666
73,random,xgboost_opt,73.0,6.233333333333333,5.8,6.616666666666666
74,random,xgboost_opt,74.0,6.25,5.833333333333333,6.6
75,random,xgboost_opt,75.0,6.25,5.849583333333333,6.6
76,random,xgboost_opt,76.0,6.25,5.816666666666666,6.616666666666666
77,random,xgboost_opt,77.0,6.266666666666667,5.816666666666666,6.633333333333334
78,random,xgboost_opt,78.0,6.266666666666667,5.866666666666666,6.633333333333334
79,random,xgboost_opt,79.0,6.283333333333333,5.899583333333334,6.633333333333334
80,random,xgboost_opt,80.0,6.283333333333333,5.883333333333334,6.633333333333334
81,random,xgboost_opt,81.0,6.316666666666666,5.9,6.683333333333334
82,random,xgboost_opt,82.0,6.316666666666666,5.916666666666667,6.666666666666667
83,random,xgboost_opt,83.0,6.333333333333333,5.9,6.7004166666666665
84,random,xgboost_opt,84.0,6.333333333333333,5.966666666666667,6.7
85,random,xgboost_opt,85.0,6.333333333333333,5.95,6.7004166666666665
86,random,xgboost_opt,86.0,6.366666666666666,5.95,6.716666666666667
87,random,xgboost_opt,87.0,6.383333333333334,6.016666666666667,6.7
88,random,xgboost_opt,88.0,6.4,6.033333333333333,6.75
89,random,xgboost_opt,89.0,6.416666666666667,6.032916666666667,6.717083333333333
90,random,xgboost_opt,90.0,6.45,6.066666666666666,6.75
91,random,xgboost_opt,91.0,6.483333333333333,6.166250000000001,6.783333333333333
92,random,xgboost_opt,92.0,6.5,6.166666666666667,6.783333333333333
93,random,xgboost_opt,93.0,6.5,6.183333333333334,6.8
94,random,xgboost_opt,94.0,6.5,6.149583333333334,6.767083333333333
95,random,xgboost_opt,95.0,6.5,6.15,6.783333333333333
96,random,xgboost_opt,96.0,6.516666666666667,6.149583333333334,6.8
97,random,xgboost_opt,97.0,6.516666666666667,6.2,6.800416666666666
98,random,xgboost_opt,98.0,6.516666666666667,6.15,6.816666666666666
99,random,xgboost_opt,99.0,6.516666666666667,6.15,6.8
100,random,xgboost_opt,100.0,6.516666666666667,6.183333333333334,6.8
101,random,xgboost_opt,101.0,6.516666666666667,6.183333333333334,6.8
102,random,xgboost_opt,102.0,6.516666666666667,6.133333333333334,6.8
103,random,xgboost_opt,103.0,6.55,6.25,6.8
104,random,xgboost_opt,104.0,6.566666666666666,6.283333333333333,6.816666666666666
105,random,xgboost_opt,105.0,6.583333333333333,6.3,6.816666666666666
106,random,xgboost_opt,106.0,6.583333333333333,6.283333333333333,6.833333333333333
107,random,xgboost_opt,107.0,6.6,6.316666666666666,6.833333333333333
108,random,xgboost_opt,108.0,6.616666666666666,6.35,6.833749999999999
109,random,xgboost_opt,109.0,6.616666666666666,6.36625,6.85
110,random,xgboost_opt,110.0,6.616666666666666,6.366666666666666,6.85
111,random,xgboost_opt,111.0,6.616666666666666,6.366666666666666,6.85
112,random,xgboost_opt,112.0,6.65,6.416666666666667,6.866666666666666
113,random,xgboost_opt,113.0,6.65,6.433333333333334,6.85
114,random,xgboost_opt,114.0,6.666666666666667,6.433333333333334,6.866666666666666
115,random,xgboost_opt,115.0,6.683333333333334,6.433333333333334,6.883333333333334
116,random,xgboost_opt,116.0,6.7,6.482916666666667,6.9
117,random,xgboost_opt,117.0,6.7,6.483333333333333,6.9
118,random,xgboost_opt,118.0,6.7,6.466666666666667,6.9
119,random,xgboost_opt,119.0,6.7,6.466666666666667,6.9
120,random,xgboost_opt,120.0,6.7,6.4662500000000005,6.9
121,random,xgboost_opt,121.0,6.7,6.482916666666667,6.9
122,random,xgboost_opt,122.0,6.716666666666667,6.5,6.9
123,random,xgboost_opt,123.0,6.783333333333333,6.566666666666666,6.933333333333334
124,random,xgboost_opt,124.0,6.783333333333333,6.6,6.933333333333334
125,random,xgboost_opt,125.0,6.783333333333333,6.6,6.933333333333334
126,random,xgboost_opt,126.0,6.783333333333333,6.6,6.93375
127,random,xgboost_opt,127.0,6.783333333333333,6.599583333333333,6.95
128,random,xgboost_opt,128.0,6.783333333333333,6.6,6.933333333333334
129,random,xgboost_opt,129.0,6.783333333333333,6.6,6.933333333333334
130,random,xgboost_opt,130.0,6.783333333333333,6.6,6.93375
131,random,xgboost_opt,131.0,6.783333333333333,6.583333333333333,6.933333333333334
132,random,xgboost_opt,132.0,6.783333333333333,6.583333333333333,6.933333333333334
133,random,xgboost_opt,133.0,6.783333333333333,6.6,6.95
134,random,xgboost_opt,134.0,6.783333333333333,6.583333333333333,6.95
135,random,xgboost_opt,135.0,6.783333333333333,6.583333333333333,6.933333333333334
136,random,xgboost_opt,136.0,6.783333333333333,6.583333333333333,6.95
137,random,xgboost_opt,137.0,6.783333333333333,6.6,6.93375
138,random,xgboost_opt,138.0,6.783333333333333,6.583333333333333,6.933333333333334
139,random,xgboost_opt,139.0,6.8,6.616666666666666,6.933333333333334
140,random,xgboost_opt,140.0,6.8,6.633333333333334,6.95
141,random,xgboost_opt,141.0,6.8,6.616666666666666,6.933333333333334
142,random,xgboost_opt,142.0,6.8,6.616666666666666,6.93375
143,random,xgboost_opt,143.0,6.8,6.633333333333334,6.95
144,random,xgboost_opt,144.0,6.8,6.616666666666666,6.933333333333334
