,optimizer,iteration,mean_time,lb,ub
2710,pfn_bodi_24,2710.0,8.955958843231201,7.249060773849488,10.71833398103714
2810,pfn_bodi_24,2810.0,8.109518885612488,6.555462552309037,9.417962384819985
2910,pfn_bodi_24,2910.0,6.626368737220764,5.38750625371933,7.929097679257393
110,pfn_casmopolitan_16,110.0,2.6340827508406206,2.3408965582197365,2.9803385945883667
210,pfn_casmopolitan_16,210.0,2.8163956078616055,2.440582796118476,3.2192365722222758
310,pfn_casmopolitan_16,310.0,2.8799398595636543,2.5475596975196493,3.239409097758206
410,pfn_casmopolitan_16,410.0,3.030561750585383,2.688857979666103,3.406849935921756
510,pfn_casmopolitan_16,510.0,3.2821909080852163,2.9185796932740646,3.6797970723022115
610,pfn_casmopolitan_16,610.0,3.6848400722850454,3.23920584266836,4.142557582530109
710,pfn_casmopolitan_16,710.0,4.087082386016846,3.742478731545535,4.430960335514762
810,pfn_casmopolitan_16,810.0,4.2502664652737705,3.938961311903867,4.608679762753574
910,pfn_casmopolitan_16,910.0,4.717401656237516,4.38441630601883,5.069918407635255
1010,pfn_casmopolitan_16,1010.0,4.850044120441783,4.559797872196544,5.163660885529085
1110,pfn_casmopolitan_16,1110.0,5.7367682890458545,5.38713197870688,6.113103009895845
1210,pfn_casmopolitan_16,1210.0,5.789609410546043,5.5599822163581845,6.016097695719112
1310,pfn_casmopolitan_16,1310.0,6.024975603277033,5.682179342616688,6.404984495856545
1410,pfn_casmopolitan_16,1410.0,6.643061789599332,6.177878340265968,7.101643407344818
1510,pfn_casmopolitan_16,1510.0,6.971188350157305,6.416531589898196,7.436455956914208
1610,pfn_casmopolitan_16,1610.0,7.352961171757091,6.7310713768005375,7.962995526465503
1710,pfn_casmopolitan_16,1710.0,7.4687816663221875,6.6743919914419,8.216844684427434
1810,pfn_casmopolitan_16,1810.0,7.475018002770164,6.6883728449994875,8.258510690385645
1910,pfn_casmopolitan_16,1910.0,7.46747368032282,6.743555133451115,8.22754372195764
2010,pfn_casmopolitan_16,2010.0,7.705068306489424,6.7898098923943255,8.648602521419525
2110,pfn_casmopolitan_16,2110.0,7.614826614206487,6.729954964464361,8.494990557974035
2210,pfn_casmopolitan_16,2210.0,9.203755682164973,8.060551167076285,10.242699108340522
2310,pfn_casmopolitan_16,2310.0,9.173319296403365,8.245076920227572,9.961572826992382
2410,pfn_casmopolitan_16,2410.0,9.267740444703536,8.286749262159521,10.203768833658911
2510,pfn_casmopolitan_16,2510.0,9.013381242752075,7.697259383851832,10.220822323452342
2610,pfn_casmopolitan_16,2610.0,8.94566507772966,7.1703951949423015,10.531494790315628
2710,pfn_casmopolitan_16,2710.0,8.815280480818315,7.041306311975825,10.680561098185452
2810,pfn_casmopolitan_16,2810.0,7.427713220769709,5.365469480644573,9.707520526105707
2910,pfn_casmopolitan_16,2910.0,6.583320704373446,4.7222279732877555,8.61953744238073
110,pfn_cocabo_51,110.0,2.1607638705860484,1.8989496366544203,2.4190381759946997
210,pfn_cocabo_51,210.0,2.367620359767567,1.9747235883365977,2.8205276012420653
310,pfn_cocabo_51,310.0,2.5973796627738257,2.2753909712488003,2.904632525010542
410,pfn_cocabo_51,410.0,2.6882722161032935,2.2700408724221317,3.1701514471660963
510,pfn_cocabo_51,510.0,2.8465752601623535,2.4777461138638586,3.2266699184070933
610,pfn_cocabo_51,610.0,3.332663644443859,2.9546764113686304,3.755347828431563
710,pfn_cocabo_51,710.0,3.4242911338806152,3.124081355333328,3.780652683973312
810,pfn_cocabo_51,810.0,3.728015986355868,3.4494394454089075,3.9903813389214604
910,pfn_cocabo_51,910.0,4.047440095381304,3.7242963617498224,4.4318262376568525
1010,pfn_cocabo_51,1010.0,4.4326606447046455,4.104415008696643,4.847557141022248
1110,pfn_cocabo_51,1110.0,4.832166888497093,4.553091809424487,5.1999059503728695
1210,pfn_cocabo_51,1210.0,5.38374697078358,4.989029691977934,5.88957857760516
