,optimizer,task_name,iteration,mean_rank,lb,ub,mean_proportion
65,PFN-Casmopolitan,xgboost_opt,65.0,,0.25,0.5833333333333334,0.4166666666666667
66,PFN-Casmopolitan,xgboost_opt,66.0,,0.25,0.5833333333333334,0.4166666666666667
67,PFN-Casmopolitan,xgboost_opt,67.0,,0.26666666666666666,0.5833333333333334,0.4166666666666667
68,PFN-Casmopolitan,xgboost_opt,68.0,,0.2833333333333333,0.617083333333333,0.45
69,PFN-Casmopolitan,xgboost_opt,69.0,,0.2833333333333333,0.6166666666666667,0.45
70,PFN-Casmopolitan,xgboost_opt,70.0,,0.3,0.6333333333333333,0.45
71,PFN-Casmopolitan,xgboost_opt,71.0,,0.2833333333333333,0.6333333333333333,0.4666666666666667
72,PFN-Casmopolitan,xgboost_opt,72.0,,0.2833333333333333,0.6166666666666667,0.45
73,PFN-Casmopolitan,xgboost_opt,73.0,,0.2829166666666667,0.6333333333333333,0.45
74,PFN-Casmopolitan,xgboost_opt,74.0,,0.2833333333333333,0.6333333333333333,0.45
75,PFN-Casmopolitan,xgboost_opt,75.0,,0.3,0.6166666666666667,0.45
76,PFN-Casmopolitan,xgboost_opt,76.0,,0.26666666666666666,0.6,0.43333333333333335
77,PFN-Casmopolitan,xgboost_opt,77.0,,0.26625000000000004,0.5833333333333334,0.4166666666666667
78,PFN-Casmopolitan,xgboost_opt,78.0,,0.26625000000000004,0.5833333333333334,0.4166666666666667
79,PFN-Casmopolitan,xgboost_opt,79.0,,0.26666666666666666,0.5833333333333334,0.4166666666666667
80,PFN-Casmopolitan,xgboost_opt,80.0,,0.3,0.6166666666666667,0.45
81,PFN-Casmopolitan,xgboost_opt,81.0,,0.2833333333333333,0.6166666666666667,0.45
82,PFN-Casmopolitan,xgboost_opt,82.0,,0.3,0.6333333333333333,0.4666666666666667
83,PFN-Casmopolitan,xgboost_opt,83.0,,0.3,0.6333333333333333,0.4666666666666667
84,PFN-Casmopolitan,xgboost_opt,84.0,,0.3,0.6333333333333333,0.4666666666666667
85,PFN-Casmopolitan,xgboost_opt,85.0,,0.3,0.6333333333333333,0.4666666666666667
86,PFN-Casmopolitan,xgboost_opt,86.0,,0.31666666666666665,0.65,0.48333333333333334
87,PFN-Casmopolitan,xgboost_opt,87.0,,0.3,0.6333333333333333,0.4666666666666667
88,PFN-Casmopolitan,xgboost_opt,88.0,,0.3,0.6333333333333333,0.4666666666666667
89,PFN-Casmopolitan,xgboost_opt,89.0,,0.3,0.6166666666666667,0.45
90,PFN-Casmopolitan,xgboost_opt,90.0,,0.3,0.6,0.45
91,PFN-Casmopolitan,xgboost_opt,91.0,,0.25,0.5833333333333334,0.4166666666666667
92,PFN-Casmopolitan,xgboost_opt,92.0,,0.26666666666666666,0.5833333333333334,0.4166666666666667
93,PFN-Casmopolitan,xgboost_opt,93.0,,0.25,0.5833333333333334,0.4166666666666667
94,PFN-Casmopolitan,xgboost_opt,94.0,,0.25,0.5666666666666667,0.4166666666666667
95,PFN-Casmopolitan,xgboost_opt,95.0,,0.25,0.5833333333333334,0.4166666666666667
96,PFN-Casmopolitan,xgboost_opt,96.0,,0.25,0.5833333333333334,0.4166666666666667
97,PFN-Casmopolitan,xgboost_opt,97.0,,0.25,0.5666666666666667,0.4166666666666667
98,PFN-Casmopolitan,xgboost_opt,98.0,,0.26666666666666666,0.6,0.43333333333333335
99,PFN-Casmopolitan,xgboost_opt,99.0,,0.26666666666666666,0.6,0.43333333333333335
100,PFN-Casmopolitan,xgboost_opt,100.0,,0.25,0.6166666666666667,0.43333333333333335
