,n_dat,category,x,optimizer,optimizer_output,lb,ub,ground_truth
0,5,0.0,0.0,CoCaBO,3.486780563727973,2.377273451024715,4.596287676431231,3.6253849384403627
1,5,0.0,0.01010101,CoCaBO,3.4873248294613397,2.379235592636525,4.595414066286154,3.600523275346387
2,5,0.0,0.02020202,CoCaBO,3.487880341983439,2.381182992047494,4.594577691919384,3.6230383249126814
3,5,0.0,0.030303031,CoCaBO,3.4884470816952895,2.383115272408982,4.593778890981596,3.6868386483893336
4,5,0.0,0.04040404,CoCaBO,3.489025024964259,2.385032055550762,4.593017994377756,3.7828746030975258
5,5,0.0,0.05050505,CoCaBO,3.489614144494827,2.3869329637226686,4.592295325266986,3.9005210353894815
6,5,0.0,0.060606062,CoCaBO,3.4902144090826304,2.388817619182648,4.591611198982613,4.029004382829299
7,5,0.0,0.07070707,CoCaBO,3.490825782494635,2.390685641240387,4.5909659237488825,4.1585859325201895
8,5,0.0,0.08080808,CoCaBO,3.4914482258268524,2.39253665400502,4.590359797648684,4.281332419800609
9,5,0.0,0.09090909,CoCaBO,3.4920816944730637,2.394370277563331,4.5897931113827966,4.391431080637034
10,5,0.0,0.1010101,CoCaBO,3.492726139328685,2.3961861323225757,4.5892661463347935,4.485127907561868
11,5,0.0,0.11111111,CoCaBO,3.4933815081388273,2.397983843123968,4.588779173153687,4.560408689126703
12,5,0.0,0.121212125,CoCaBO,3.494047742529366,2.3997630313603295,4.588332453698403,4.616561353144068
13,5,0.0,0.13131313,CoCaBO,3.4947247792779326,2.40152331921134,4.587926239344525,4.6537225727258225
14,5,0.0,0.14141414,CoCaBO,3.4954125512156065,2.403264332356901,4.587560770074312,4.672476039117701
15,5,0.0,0.15151516,CoCaBO,3.4961109866631626,2.4049856987286926,4.5872362745976325,4.673535108775205
16,5,0.0,0.16161616,CoCaBO,3.496820005655434,2.406687039858873,4.5869529714519945,4.657515786287057
17,5,0.0,0.17171717,CoCaBO,3.4975395259952258,2.4083679862758154,4.586711065714637,4.624793716276905
