,optimizer_name,task_name,n_training_data,mean_rank,lb,ub
144,pfn_cocabo_51,levy,144.0,3.31,3.09,3.53
169,pfn_cocabo_51,levy,169.0,3.25,3.05,3.46
196,pfn_cocabo_51,levy,196.0,3.36,3.15,3.5702499999999997
4,pfn_casmopolitan_16,levy,4.0,3.18,2.92,3.45025
9,pfn_casmopolitan_16,levy,9.0,3.04,2.8,3.31
16,pfn_casmopolitan_16,levy,16.0,2.69,2.42,2.93
25,pfn_casmopolitan_16,levy,25.0,2.91,2.7,3.13
36,pfn_casmopolitan_16,levy,36.0,2.87,2.66,3.1
49,pfn_casmopolitan_16,levy,49.0,3.4,3.1797500000000003,3.6302499999999998
64,pfn_casmopolitan_16,levy,64.0,3.63,3.38,3.87
81,pfn_casmopolitan_16,levy,81.0,3.92,3.69,4.14
100,pfn_casmopolitan_16,levy,100.0,4.07,3.85975,4.28
121,pfn_casmopolitan_16,levy,121.0,4.36,4.18,4.54
144,pfn_casmopolitan_16,levy,144.0,4.53,4.35,4.71
169,pfn_casmopolitan_16,levy,169.0,4.58,4.41,4.74
196,pfn_casmopolitan_16,levy,196.0,4.68,4.51,4.81
4,pfn_bodi_24,levy,4.0,4.31,3.9697500000000003,4.630249999999999
9,pfn_bodi_24,levy,9.0,4.02,3.75975,4.3
16,pfn_bodi_24,levy,16.0,4.02,3.69,4.29
25,pfn_bodi_24,levy,25.0,4.22,3.91,4.520249999999999
36,pfn_bodi_24,levy,36.0,4.54,4.22,4.81
49,pfn_bodi_24,levy,49.0,5.01,4.7597499999999995,5.25
64,pfn_bodi_24,levy,64.0,5.34,5.11,5.53
81,pfn_bodi_24,levy,81.0,5.46,5.23975,5.65
100,pfn_bodi_24,levy,100.0,5.64,5.44,5.81
121,pfn_bodi_24,levy,121.0,5.71,5.57,5.83
144,pfn_bodi_24,levy,144.0,5.79,5.64,5.91
169,pfn_bodi_24,levy,169.0,5.89,5.79,5.97
196,pfn_bodi_24,levy,196.0,5.88,5.78,5.96
4,cocabo,All Tasks,4.0,4.536,4.3379,4.74405
9,cocabo,All Tasks,9.0,4.96,4.77,5.156
16,cocabo,All Tasks,16.0,4.906,4.71,5.10405
25,cocabo,All Tasks,25.0,4.452,4.25795,4.64605
36,cocabo,All Tasks,36.0,4.064,3.86595,4.248
49,cocabo,All Tasks,49.0,3.344,3.1418999999999997,3.53205
64,cocabo,All Tasks,64.0,3.076,2.878,3.256
81,cocabo,All Tasks,81.0,2.726,2.55995,2.9
100,cocabo,All Tasks,100.0,2.57,2.4019500000000003,2.73405
121,cocabo,All Tasks,121.0,2.414,2.25995,2.586
144,cocabo,All Tasks,144.0,2.284,2.14,2.4381
169,cocabo,All Tasks,169.0,2.202,2.064,2.3440499999999997
196,cocabo,All Tasks,196.0,2.148,2.008,2.29005
4,casmopolitan,All Tasks,4.0,4.632,4.431900000000001,4.83005
9,casmopolitan,All Tasks,9.0,4.74,4.542,4.9300999999999995
16,casmopolitan,All Tasks,16.0,4.76,4.57795,4.952
25,casmopolitan,All Tasks,25.0,4.42,4.2399000000000004,4.6
36,casmopolitan,All Tasks,36.0,4.1,3.92,4.28
49,casmopolitan,All Tasks,49.0,3.702,3.54195,3.878
64,casmopolitan,All Tasks,64.0,3.58,3.43195,3.74005
81,casmopolitan,All Tasks,81.0,3.176,3.026,3.3280499999999997
100,casmopolitan,All Tasks,100.0,3.152,3.00995,3.3040999999999996
121,casmopolitan,All Tasks,121.0,2.872,2.73395,3.01205
144,casmopolitan,All Tasks,144.0,2.932,2.802,3.0580499999999997
169,casmopolitan,All Tasks,169.0,2.87,2.742,3.0020499999999997
196,casmopolitan,All Tasks,196.0,2.862,2.7459,2.98805
4,bodi,All Tasks,4.0,4.37,4.182,4.58
9,bodi,All Tasks,9.0,4.996,4.82,5.18205
16,bodi,All Tasks,16.0,5.112,4.942,5.28005
25,bodi,All Tasks,25.0,4.84,4.68,5.016
36,bodi,All Tasks,36.0,4.898,4.72,5.0760499999999995
49,bodi,All Tasks,49.0,4.474,4.30795,4.6602
64,bodi,All Tasks,64.0,4.26,4.0939000000000005,4.43805
81,bodi,All Tasks,81.0,3.982,3.80995,4.138
100,bodi,All Tasks,100.0,3.91,3.76,4.0661
121,bodi,All Tasks,121.0,3.588,3.43995,3.726
144,bodi,All Tasks,144.0,3.408,3.27395,3.55605
169,bodi,All Tasks,169.0,3.314,3.168,3.4661
196,bodi,All Tasks,196.0,3.17,3.034,3.318
4,dummy_baseline,All Tasks,4.0,3.442,3.318,3.57
9,dummy_baseline,All Tasks,9.0,3.726,3.584,3.87
16,dummy_baseline,All Tasks,16.0,4.172,4.02995,4.31605
25,dummy_baseline,All Tasks,25.0,5.004,4.852,5.14605
36,dummy_baseline,All Tasks,36.0,5.516,5.376,5.652
49,dummy_baseline,All Tasks,49.0,6.074,5.958,6.18605
64,dummy_baseline,All Tasks,64.0,6.342,6.2339,6.45205
81,dummy_baseline,All Tasks,81.0,6.514,6.414,6.608
100,dummy_baseline,All Tasks,100.0,6.63,6.546,6.70805
121,dummy_baseline,All Tasks,121.0,6.74,6.674,6.808
144,dummy_baseline,All Tasks,144.0,6.792,6.72395,6.856
169,dummy_baseline,All Tasks,169.0,6.822,6.762,6.87805
196,dummy_baseline,All Tasks,196.0,6.854,6.794,6.904
4,pfn_cocabo_51,All Tasks,4.0,3.446,3.294,3.586
9,pfn_cocabo_51,All Tasks,9.0,2.772,2.6279500000000002,2.9200999999999997
16,pfn_cocabo_51,All Tasks,16.0,2.46,2.33395,2.59205
25,pfn_cocabo_51,All Tasks,25.0,2.498,2.3819500000000002,2.616
36,pfn_cocabo_51,All Tasks,36.0,2.338,2.2359,2.446
49,pfn_cocabo_51,All Tasks,49.0,2.484,2.376,2.598
64,pfn_cocabo_51,All Tasks,64.0,2.438,2.342,2.5420499999999997
81,pfn_cocabo_51,All Tasks,81.0,2.746,2.64595,2.846
100,pfn_cocabo_51,All Tasks,100.0,2.79,2.6839500000000003,2.896
121,pfn_cocabo_51,All Tasks,121.0,3.044,2.946,3.138
144,pfn_cocabo_51,All Tasks,144.0,3.12,3.03,3.22205
169,pfn_cocabo_51,All Tasks,169.0,3.17,3.08,3.272
196,pfn_cocabo_51,All Tasks,196.0,3.234,3.14,3.3320499999999997
4,pfn_casmopolitan_16,All Tasks,4.0,3.274,3.14,3.402
9,pfn_casmopolitan_16,All Tasks,9.0,2.848,2.718,2.972
16,pfn_casmopolitan_16,All Tasks,16.0,2.682,2.56395,2.792
25,pfn_casmopolitan_16,All Tasks,25.0,2.78,2.674,2.886
36,pfn_casmopolitan_16,All Tasks,36.0,2.836,2.716,2.948
49,pfn_casmopolitan_16,All Tasks,49.0,3.182,3.058,3.2960499999999997
64,pfn_casmopolitan_16,All Tasks,64.0,3.368,3.24595,3.49005
81,pfn_casmopolitan_16,All Tasks,81.0,3.696,3.58195,3.8141
100,pfn_casmopolitan_16,All Tasks,100.0,3.672,3.54595,3.784
121,pfn_casmopolitan_16,All Tasks,121.0,3.948,3.82395,4.07
144,pfn_casmopolitan_16,All Tasks,144.0,3.99,3.86395,4.112
169,pfn_casmopolitan_16,All Tasks,169.0,4.044,3.918,4.172
196,pfn_casmopolitan_16,All Tasks,196.0,4.09,3.9699500000000003,4.208
4,pfn_bodi_24,All Tasks,4.0,4.3,4.15195,4.44405
9,pfn_bodi_24,All Tasks,9.0,3.958,3.8358999999999996,4.08805
16,pfn_bodi_24,All Tasks,16.0,3.908,3.786,4.0280499999999995
25,pfn_bodi_24,All Tasks,25.0,4.006,3.86795,4.148
36,pfn_bodi_24,All Tasks,36.0,4.248,4.114,4.3740499999999995
49,pfn_bodi_24,All Tasks,49.0,4.74,4.612,4.86805
64,pfn_bodi_24,All Tasks,64.0,4.936,4.818,5.056
81,pfn_bodi_24,All Tasks,81.0,5.16,5.044,5.266
100,pfn_bodi_24,All Tasks,100.0,5.276,5.17,5.37605
121,pfn_bodi_24,All Tasks,121.0,5.394,5.292,5.498
144,pfn_bodi_24,All Tasks,144.0,5.474,5.3819,5.562
169,pfn_bodi_24,All Tasks,169.0,5.578,5.49795,5.65205
196,pfn_bodi_24,All Tasks,196.0,5.642,5.56795,5.712
