,optimizer_name,task_name,n_training_data,mean_rank,lb,ub
81,pfn_bodi_24,schwefel,81.0,4.01,3.75,4.28025
100,pfn_bodi_24,schwefel,100.0,4.17,3.91975,4.4
121,pfn_bodi_24,schwefel,121.0,4.45,4.19,4.720249999999999
144,pfn_bodi_24,schwefel,144.0,4.71,4.44,4.96
169,pfn_bodi_24,schwefel,169.0,4.89,4.64,5.12
196,pfn_bodi_24,schwefel,196.0,4.98,4.76,5.19
4,cocabo,michalewicz,4.0,4.66,4.19,5.12
9,cocabo,michalewicz,9.0,5.27,4.84,5.67
16,cocabo,michalewicz,16.0,5.12,4.76,5.48
25,cocabo,michalewicz,25.0,4.54,4.11,4.96
36,cocabo,michalewicz,36.0,4.53,4.08,4.970249999999999
49,cocabo,michalewicz,49.0,3.99,3.59,4.36
64,cocabo,michalewicz,64.0,3.95,3.55,4.37
81,cocabo,michalewicz,81.0,3.59,3.19,3.97
100,cocabo,michalewicz,100.0,3.69,3.33,4.11025
121,cocabo,michalewicz,121.0,3.31,2.9097500000000003,3.71
144,cocabo,michalewicz,144.0,3.28,2.92,3.66
169,cocabo,michalewicz,169.0,3.13,2.75,3.5302499999999997
196,cocabo,michalewicz,196.0,2.82,2.51,3.14
4,casmopolitan,michalewicz,4.0,4.41,3.94,4.89
9,casmopolitan,michalewicz,9.0,4.79,4.41975,5.19
16,casmopolitan,michalewicz,16.0,4.97,4.57,5.38
25,casmopolitan,michalewicz,25.0,4.64,4.22,5.08
36,casmopolitan,michalewicz,36.0,4.72,4.31975,5.09
49,casmopolitan,michalewicz,49.0,3.82,3.43975,4.250249999999999
64,casmopolitan,michalewicz,64.0,4.16,3.76,4.55
81,casmopolitan,michalewicz,81.0,3.51,3.12,3.87
100,casmopolitan,michalewicz,100.0,3.56,3.2397500000000004,3.8802499999999998
121,casmopolitan,michalewicz,121.0,3.42,3.08,3.79
144,casmopolitan,michalewicz,144.0,3.53,3.19,3.8705
169,casmopolitan,michalewicz,169.0,3.23,2.9,3.5502499999999997
196,casmopolitan,michalewicz,196.0,3.28,2.94,3.65
4,bodi,michalewicz,4.0,3.83,3.37975,4.28
9,bodi,michalewicz,9.0,5.12,4.74,5.48
16,bodi,michalewicz,16.0,5.36,5.03,5.71
25,bodi,michalewicz,25.0,5.26,4.87,5.67
36,bodi,michalewicz,36.0,5.34,4.96,5.68
49,bodi,michalewicz,49.0,5.38,5.05,5.69025
64,bodi,michalewicz,64.0,5.2,4.85975,5.53
81,bodi,michalewicz,81.0,4.91,4.55,5.28025
100,bodi,michalewicz,100.0,5.03,4.66,5.3702499999999995
121,bodi,michalewicz,121.0,4.48,4.139749999999999,4.78
144,bodi,michalewicz,144.0,4.49,4.12975,4.84
169,bodi,michalewicz,169.0,4.2,3.8,4.6
196,bodi,michalewicz,196.0,4.0,3.65,4.350249999999999
4,dummy_baseline,michalewicz,4.0,3.21,2.95,3.49
9,dummy_baseline,michalewicz,9.0,3.28,3.0,3.55
16,dummy_baseline,michalewicz,16.0,3.61,3.28,3.94025
25,dummy_baseline,michalewicz,25.0,4.2,3.82975,4.5802499999999995
36,dummy_baseline,michalewicz,36.0,4.74,4.42,5.08
