,optimizer,task,iteration,mean_rank,lb,ub
127,Casmopolitan,griewank,127.0,2.7666666666666666,2.1325,3.433333333333333
128,Casmopolitan,griewank,128.0,2.7333333333333334,2.1,3.4
129,Casmopolitan,griewank,129.0,2.7666666666666666,2.1,3.433333333333333
130,Casmopolitan,griewank,130.0,2.8333333333333335,2.1991666666666667,3.566666666666667
131,Casmopolitan,griewank,131.0,2.8666666666666667,2.1666666666666665,3.6
132,Casmopolitan,griewank,132.0,2.8666666666666667,2.2,3.533333333333333
133,Casmopolitan,griewank,133.0,2.9,2.2666666666666666,3.566666666666667
134,Casmopolitan,griewank,134.0,2.9,2.2666666666666666,3.566666666666667
135,Casmopolitan,griewank,135.0,2.9,2.2333333333333334,3.5674999999999994
136,Casmopolitan,griewank,136.0,2.8666666666666667,2.2666666666666666,3.533333333333333
137,Casmopolitan,griewank,137.0,2.8666666666666667,2.2333333333333334,3.533333333333333
138,Casmopolitan,griewank,138.0,2.8666666666666667,2.2666666666666666,3.533333333333333
139,Casmopolitan,griewank,139.0,2.7,2.066666666666667,3.3333333333333335
140,Casmopolitan,griewank,140.0,2.7,2.1,3.3333333333333335
141,Casmopolitan,griewank,141.0,2.6333333333333333,2.0,3.3666666666666667
142,Casmopolitan,griewank,142.0,2.6,2.0,3.2333333333333334
143,Casmopolitan,griewank,143.0,2.6333333333333333,1.9991666666666668,3.3666666666666667
144,Casmopolitan,griewank,144.0,2.6,2.066666666666667,3.2666666666666666
145,Casmopolitan,griewank,145.0,2.566666666666667,2.0658333333333334,3.2
146,Casmopolitan,griewank,146.0,2.566666666666667,2.0324999999999998,3.2333333333333334
147,Casmopolitan,griewank,147.0,2.566666666666667,2.0,3.1666666666666665
148,Casmopolitan,griewank,148.0,2.566666666666667,2.033333333333333,3.1666666666666665
149,Casmopolitan,griewank,149.0,2.566666666666667,2.0,3.1666666666666665
150,Casmopolitan,griewank,150.0,2.6,2.0658333333333334,3.1666666666666665
151,Casmopolitan,griewank,151.0,2.6,2.066666666666667,3.2008333333333328
152,Casmopolitan,griewank,152.0,2.6,2.066666666666667,3.1666666666666665
153,Casmopolitan,griewank,153.0,2.6333333333333333,2.1,3.3
154,Casmopolitan,griewank,154.0,2.6333333333333333,2.066666666666667,3.234166666666666
155,Casmopolitan,griewank,155.0,2.6,2.033333333333333,3.234166666666666
156,Casmopolitan,griewank,156.0,2.6,1.9991666666666668,3.2666666666666666
157,Casmopolitan,griewank,157.0,2.6,1.9666666666666666,3.2333333333333334
