,optimizer_name,comparison,task_name,n_training_data,mean_rank,lb,ub
25,CoCaBO,vs. MCBO,All Tasks,25.0,2.622,2.52795,2.72205
36,CoCaBO,vs. MCBO,All Tasks,36.0,2.5,2.40795,2.598
49,CoCaBO,vs. MCBO,All Tasks,49.0,2.244,2.146,2.346
64,CoCaBO,vs. MCBO,All Tasks,64.0,2.132,2.034,2.23405
81,CoCaBO,vs. MCBO,All Tasks,81.0,2.006,1.9139,2.1
100,CoCaBO,vs. MCBO,All Tasks,100.0,1.9,1.806,1.994
121,CoCaBO,vs. MCBO,All Tasks,121.0,1.876,1.784,1.974
144,CoCaBO,vs. MCBO,All Tasks,144.0,1.798,1.7039499999999999,1.8800499999999998
169,CoCaBO,vs. MCBO,All Tasks,169.0,1.79,1.7059499999999999,1.876
196,CoCaBO,vs. MCBO,All Tasks,196.0,1.748,1.662,1.82805
4,Casmopolitan,vs. MCBO,All Tasks,4.0,2.692,2.598,2.7800499999999997
9,Casmopolitan,vs. MCBO,All Tasks,9.0,2.656,2.562,2.756
16,Casmopolitan,vs. MCBO,All Tasks,16.0,2.712,2.618,2.8040499999999997
25,Casmopolitan,vs. MCBO,All Tasks,25.0,2.64,2.54995,2.74
36,Casmopolitan,vs. MCBO,All Tasks,36.0,2.568,2.486,2.646
49,Casmopolitan,vs. MCBO,All Tasks,49.0,2.552,2.45995,2.64605
64,Casmopolitan,vs. MCBO,All Tasks,64.0,2.574,2.482,2.662
81,Casmopolitan,vs. MCBO,All Tasks,81.0,2.456,2.366,2.538
100,Casmopolitan,vs. MCBO,All Tasks,100.0,2.442,2.354,2.53
121,Casmopolitan,vs. MCBO,All Tasks,121.0,2.312,2.232,2.392
144,Casmopolitan,vs. MCBO,All Tasks,144.0,2.382,2.304,2.46205
169,Casmopolitan,vs. MCBO,All Tasks,169.0,2.384,2.3,2.47
196,Casmopolitan,vs. MCBO,All Tasks,196.0,2.402,2.32,2.478
4,BODi,vs. MCBO,All Tasks,4.0,2.574,2.4819500000000003,2.668
