,optimizer,n_training_data,mean_overlap,lb,ub
169,pfn_bodi_24,169,0.7010354496541252,0.6920801353345921,0.709900453095553
196,pfn_bodi_24,196,0.6947097424160381,0.6860509899186005,0.7039401021958424
4,CoCaBO_dummy_baseline,4,0.7737061598700338,0.7648243877552732,0.7825909418268215
9,CoCaBO_dummy_baseline,9,0.6834862529077204,0.674467863789167,0.6933080426291628
16,CoCaBO_dummy_baseline,16,0.6526580277275399,0.6419975155715909,0.6636053036916012
25,CoCaBO_dummy_baseline,25,0.6371782226444065,0.6267562211406345,0.6483275264155448
36,CoCaBO_dummy_baseline,36,0.6016740888519304,0.5899113310441907,0.6127836281758777
49,CoCaBO_dummy_baseline,49,0.5756017945310714,0.56360956623014,0.5870459580645442
64,CoCaBO_dummy_baseline,64,0.5564761839277381,0.543735975892416,0.568614759989652
81,CoCaBO_dummy_baseline,81,0.5460140026913499,0.5329870800987663,0.5589221710505191
100,CoCaBO_dummy_baseline,100,0.527037282801279,0.5134304517970575,0.5400888385410194
121,CoCaBO_dummy_baseline,121,0.5163565646973066,0.5028869694860229,0.529954689704265
144,CoCaBO_dummy_baseline,144,0.505596400018526,0.4903726008336248,0.5196270542496721
169,CoCaBO_dummy_baseline,169,0.49290993783176407,0.4786274384749992,0.507523012372473
196,CoCaBO_dummy_baseline,196,0.4839209448692466,0.4690120730481608,0.49770477028187854
4,Casmopolitan_dummy_baseline,4,0.7958674996266247,0.7865617817191366,0.804227185109872
9,Casmopolitan_dummy_baseline,9,0.7131208625050984,0.7033411966559525,0.7234136117066855
16,Casmopolitan_dummy_baseline,16,0.6831903476273959,0.6725627027074874,0.6930128948812175
25,Casmopolitan_dummy_baseline,25,0.6533976957835745,0.6426086884034652,0.6637082024717158
36,Casmopolitan_dummy_baseline,36,0.6383237326357859,0.6286137087257356,0.6483422683334787
49,Casmopolitan_dummy_baseline,49,0.621217996682197,0.6093022837033171,0.6319977590484644
64,Casmopolitan_dummy_baseline,64,0.6019363154549932,0.5891768320003812,0.6135845780815111
81,Casmopolitan_dummy_baseline,81,0.5884466023361262,0.5751547297995936,0.6006066893683926
100,Casmopolitan_dummy_baseline,100,0.5787583400255353,0.5650348763731343,0.5915427786085675
121,Casmopolitan_dummy_baseline,121,0.5582322872853471,0.5443966232935221,0.5721296645809892
144,Casmopolitan_dummy_baseline,144,0.548236966736615,0.5352511821661879,0.5627976268244859
169,Casmopolitan_dummy_baseline,169,0.5376413511577346,0.5244952928948032,0.551623832290662
196,Casmopolitan_dummy_baseline,196,0.5264652611084112,0.512625039706951,0.5401513366510158
4,BODi_dummy_baseline,4,0.8252676542149584,0.8159739919788729,0.8337406384656264
9,BODi_dummy_baseline,9,0.7445051151217903,0.73335098654276,0.7542939746704935
16,BODi_dummy_baseline,16,0.6892238026522927,0.6808132440900168,0.6982328336367346
25,BODi_dummy_baseline,25,0.6739541225671741,0.6648245260302632,0.684137661920747
36,BODi_dummy_baseline,36,0.6391648587048718,0.6283509906975102,0.6493329941570234
49,BODi_dummy_baseline,49,0.6221688421490671,0.611255472895289,0.6342571125615752
64,BODi_dummy_baseline,64,0.6013886974574156,0.5895919676681157,0.6126089265367419
81,BODi_dummy_baseline,81,0.58564824583359,0.572686562599434,0.5978045986174363
100,BODi_dummy_baseline,100,0.5748420938509683,0.5624642152669996,0.5860849199084328
121,BODi_dummy_baseline,121,0.5560287147256647,0.5438514624737546,0.5690262794574017
144,BODi_dummy_baseline,144,0.5415897992263867,0.5285872679853828,0.5553288898619316
169,BODi_dummy_baseline,169,0.5309719563279184,0.5175907037902198,0.5450020259462333
196,BODi_dummy_baseline,196,0.5208314460137936,0.5075110894664203,0.5349261540347009
