,0,1
0,-4.0141544,4.0148315e-08
1,-4.0141544,3.2276924e-07
2,-2.7067873,3.2276924e-07
3,-2.7067873,8.827931e-07
4,-2.5185332,8.827931e-07
5,-2.5185332,2.049674e-06
6,-2.4044933,2.049674e-06
7,-2.4044933,3.5009216e-06
8,-2.3154087,3.5009216e-06
9,-2.3154087,6.0054545e-06
10,-2.2458165,6.0054545e-06
11,-2.2458165,8.976572e-06
12,-2.1907723,8.976572e-06
13,-2.1907723,1.3214206e-05
14,-2.1426523,1.3214206e-05
15,-2.1426523,1.808711e-05
16,-2.09801,1.808711e-05
17,-2.09801,2.7588338e-05
18,-2.0586498,2.7588338e-05
19,-2.0586498,3.2507112e-05
20,-2.018624,3.2507112e-05
21,-2.018624,4.6585854e-05
22,-1.986248,4.6585854e-05
23,-1.986248,5.792251e-05
24,-1.954799,5.792251e-05
25,-1.954799,6.5439424e-05
26,-1.9259734,6.5439424e-05
27,-1.9259734,8.422228e-05
28,-1.9016215,8.422228e-05
29,-1.9016215,0.000101338286
30,-1.8773822,0.000101338286
31,-1.8773822,0.0001251704
32,-1.8533087,0.0001251704
33,-1.8533087,0.00015808639
34,-1.83088,0.00015808639
35,-1.83088,0.00019455921
36,-1.8086078,0.00019455921
37,-1.8086078,0.0002119998
38,-1.78631,0.0002119998
39,-1.78631,0.00023630515
40,-1.7668698,0.00023630515
41,-1.7668698,0.00024181866
42,-1.7488487,0.00024181866
43,-1.7488487,0.0002992646
44,-1.7335385,0.0002992646
45,-1.7335385,0.00033998623
46,-1.7168784,0.00033998623
47,-1.7168784,0.00040689445
48,-1.7002919,0.00040689445
49,-1.7002919,0.0004985691
50,-1.6829615,0.0004985691
51,-1.6829615,0.00048741608
52,-1.6660216,0.00048741608
53,-1.6660216,0.0005409254
54,-1.6514633,0.0005409254
55,-1.6514633,0.00067285285
56,-1.6371953,0.00067285285
57,-1.6371953,0.0007375659
58,-1.62256,0.0007375659
59,-1.62256,0.00080283603
60,-1.6074094,0.00080283603
61,-1.6074094,0.00075383903
62,-1.5937648,0.00075383903
63,-1.5937648,0.0008653613
64,-1.5813888,0.0008653613
65,-1.5813888,0.0010207779
66,-1.5688978,0.0010207779
67,-1.5688978,0.0009273802
68,-1.5556569,0.0009273802
69,-1.5556569,0.0009847471
70,-1.5445251,0.0009847471
71,-1.5445251,0.001085843
72,-1.5341159,0.001085843
73,-1.5341159,0.0013108887
74,-1.5234426,0.0013108887
75,-1.5234426,0.0013423049
76,-1.5120134,0.0013423049
77,-1.5120134,0.0015354007
78,-1.5009156,0.0015354007
79,-1.5009156,0.0015650374
80,-1.4895043,0.0015650374
81,-1.4895043,0.0015640657
82,-1.4787853,0.0015640657
83,-1.4787853,0.001756121
84,-1.4689996,0.001756121
85,-1.4689996,0.0017701865
86,-1.4589462,0.0017701865
87,-1.4589462,0.001979893
88,-1.4491234,0.001979893
89,-1.4491234,0.0018884717
90,-1.4393001,0.0018884717
91,-1.4393001,0.002111049
92,-1.4302292,0.002111049
93,-1.4302292,0.0020656835
94,-1.4209242,0.0020656835
95,-1.4209242,0.0024855293
96,-1.4121305,0.0024855293
97,-1.4121305,0.0023343987
98,-1.4023944,0.0023343987
99,-1.4023944,0.002325356
100,-1.393686,0.002325356
101,-1.393686,0.0024650306
102,-1.3854499,0.0024650306
103,-1.3854499,0.0026646473
104,-1.3771691,0.0026646473
105,-1.3771691,0.0026680585
106,-1.3691301,0.0026680585
107,-1.3691301,0.002888847
108,-1.361296,0.002888847
109,-1.361296,0.0031873977
110,-1.3533242,0.0031873977
111,-1.3533242,0.0029317047
112,-1.3449116,0.0029317047
113,-1.3449116,0.0034731776
114,-1.3372226,0.0034731776
115,-1.3372226,0.0033979572
116,-1.3285768,0.0033979572
117,-1.3285768,0.0033598845
118,-1.3207291,0.0033598845
119,-1.3207291,0.0034598396
120,-1.3132315,0.0034598396
121,-1.3132315,0.003834119
122,-1.3058792,0.003834119
123,-1.3058792,0.004010785
124,-1.2980106,0.004010785
125,-1.2980106,0.0034279684
126,-1.2903211,0.0034279684
127,-1.2903211,0.004056985
128,-1.2836419,0.004056985
129,-1.2836419,0.003816366
130,-1.2763594,0.003816366
131,-1.2763594,0.0036959671
132,-1.2699348,0.0036959671
133,-1.2699348,0.004030538
134,-1.263628,0.004030538
135,-1.263628,0.0042159627
136,-1.2567377,0.0042159627
137,-1.2567377,0.004364033
138,-1.2499374,0.004364033
139,-1.2499374,0.0044692364
140,-1.2432661,0.0044692364
141,-1.2432661,0.0042968444
142,-1.236603,0.0042968444
143,-1.236603,0.0047822096
144,-1.2303444,0.0047822096
145,-1.2303444,0.0047441525
146,-1.2236602,0.0047441525
147,-1.2236602,0.0051718126
148,-1.2173526,0.0051718126
149,-1.2173526,0.004433645
150,-1.2104076,0.004433645
151,-1.2104076,0.005146479
152,-1.2047473,0.005146479
153,-1.2047473,0.0054242113
154,-1.1982776,0.0054242113
155,-1.1982776,0.0052850526
156,-1.1916806,0.0052850526
157,-1.1916806,0.0054174443
158,-1.1854732,0.0054174443
159,-1.1854732,0.005076143
160,-1.179187,0.005076143
161,-1.179187,0.0049896175
162,-1.173528,0.0049896175
163,-1.173528,0.005828149
164,-1.167955,0.005828149
165,-1.167955,0.0058594644
166,-1.1618191,0.0058594644
167,-1.1618191,0.0059460727
168,-1.1554835,0.0059460727
169,-1.1554835,0.0058788
170,-1.1492859,0.0058788
171,-1.1492859,0.005561694
172,-1.1432998,0.005561694
173,-1.1432998,0.005514188
174,-1.1377819,0.005514188
175,-1.1377819,0.0061189574
176,-1.1324468,0.0061189574
177,-1.1324468,0.0061431173
178,-1.126678,0.0061431173
179,-1.126678,0.0058102435
180,-1.1207794,0.0058102435
181,-1.1207794,0.0062242826
182,-1.115554,0.0062242826
