,optimizer,comparison,task,iteration,mean_rank,lb,ub
55,PFN-CoCaBO,vs. PFNs,griewank,55.0,2.8666666666666667,2.4,3.3
56,PFN-CoCaBO,vs. PFNs,griewank,56.0,2.8666666666666667,2.3666666666666667,3.3
57,PFN-CoCaBO,vs. PFNs,griewank,57.0,2.8333333333333335,2.4,3.2666666666666666
58,PFN-CoCaBO,vs. PFNs,griewank,58.0,2.7666666666666666,2.3,3.2333333333333334
59,PFN-CoCaBO,vs. PFNs,griewank,59.0,2.7666666666666666,2.2991666666666664,3.2
60,PFN-CoCaBO,vs. PFNs,griewank,60.0,2.7666666666666666,2.2991666666666664,3.2008333333333328
61,PFN-CoCaBO,vs. PFNs,griewank,61.0,2.7666666666666666,2.2991666666666664,3.234166666666666
62,PFN-CoCaBO,vs. PFNs,griewank,62.0,2.7666666666666666,2.3,3.2
63,PFN-CoCaBO,vs. PFNs,griewank,63.0,2.7,2.2333333333333334,3.1333333333333333
64,PFN-CoCaBO,vs. PFNs,griewank,64.0,2.7,2.265833333333333,3.1666666666666665
65,PFN-CoCaBO,vs. PFNs,griewank,65.0,2.6333333333333333,2.165833333333333,3.1
66,PFN-CoCaBO,vs. PFNs,griewank,66.0,2.6,2.165833333333333,3.066666666666667
67,PFN-CoCaBO,vs. PFNs,griewank,67.0,2.6,2.1,3.1
68,PFN-CoCaBO,vs. PFNs,griewank,68.0,2.6,2.1,3.066666666666667
69,PFN-CoCaBO,vs. PFNs,griewank,69.0,2.6,2.1333333333333333,3.1
70,PFN-CoCaBO,vs. PFNs,griewank,70.0,2.6,2.1333333333333333,3.066666666666667
71,PFN-CoCaBO,vs. PFNs,griewank,71.0,2.6333333333333333,2.1333333333333333,3.1
72,PFN-CoCaBO,vs. PFNs,griewank,72.0,2.6333333333333333,2.1666666666666665,3.1
73,PFN-CoCaBO,vs. PFNs,griewank,73.0,2.6333333333333333,2.1666666666666665,3.1
74,PFN-CoCaBO,vs. PFNs,griewank,74.0,2.6333333333333333,2.1333333333333333,3.1
75,PFN-CoCaBO,vs. PFNs,griewank,75.0,2.566666666666667,2.066666666666667,3.033333333333333
76,PFN-CoCaBO,vs. PFNs,griewank,76.0,2.6,2.1333333333333333,3.1
77,PFN-CoCaBO,vs. PFNs,griewank,77.0,2.6,2.1,3.066666666666667
78,PFN-CoCaBO,vs. PFNs,griewank,78.0,2.7,2.2333333333333334,3.1666666666666665
79,PFN-CoCaBO,vs. PFNs,griewank,79.0,2.6,2.1333333333333333,3.0674999999999994
80,PFN-CoCaBO,vs. PFNs,griewank,80.0,2.6,2.1,3.066666666666667
81,PFN-CoCaBO,vs. PFNs,griewank,81.0,2.6,2.1325,3.1
82,PFN-CoCaBO,vs. PFNs,griewank,82.0,2.6,2.1325,3.066666666666667
83,PFN-CoCaBO,vs. PFNs,griewank,83.0,2.6,2.1,3.1
84,PFN-CoCaBO,vs. PFNs,griewank,84.0,2.6,2.1333333333333333,3.066666666666667
85,PFN-CoCaBO,vs. PFNs,griewank,85.0,2.6333333333333333,2.1666666666666665,3.1
86,PFN-CoCaBO,vs. PFNs,griewank,86.0,2.6333333333333333,2.1333333333333333,3.1
87,PFN-CoCaBO,vs. PFNs,griewank,87.0,2.6333333333333333,2.1666666666666665,3.1
88,PFN-CoCaBO,vs. PFNs,griewank,88.0,2.6666666666666665,2.2,3.1
89,PFN-CoCaBO,vs. PFNs,griewank,89.0,2.6333333333333333,2.1666666666666665,3.1
90,PFN-CoCaBO,vs. PFNs,griewank,90.0,2.6333333333333333,2.165833333333333,3.1333333333333333
91,PFN-CoCaBO,vs. PFNs,griewank,91.0,2.6333333333333333,2.1333333333333333,3.1
92,PFN-CoCaBO,vs. PFNs,griewank,92.0,2.6333333333333333,2.1666666666666665,3.1
93,PFN-CoCaBO,vs. PFNs,griewank,93.0,2.6666666666666665,2.2325,3.1
94,PFN-CoCaBO,vs. PFNs,griewank,94.0,2.6666666666666665,2.2333333333333334,3.1333333333333333
95,PFN-CoCaBO,vs. PFNs,griewank,95.0,2.6666666666666665,2.1666666666666665,3.1666666666666665
96,PFN-CoCaBO,vs. PFNs,griewank,96.0,2.7,2.2333333333333334,3.1333333333333333
97,PFN-CoCaBO,vs. PFNs,griewank,97.0,2.7,2.265833333333333,3.1333333333333333
98,PFN-CoCaBO,vs. PFNs,griewank,98.0,2.7,2.2666666666666666,3.1666666666666665
99,PFN-CoCaBO,vs. PFNs,griewank,99.0,2.7,2.2666666666666666,3.1666666666666665
100,PFN-CoCaBO,vs. PFNs,griewank,100.0,2.7,2.2333333333333334,3.1666666666666665
101,PFN-CoCaBO,vs. PFNs,griewank,101.0,2.7,2.2333333333333334,3.1333333333333333
102,PFN-CoCaBO,vs. PFNs,griewank,102.0,2.7,2.265833333333333,3.1333333333333333
103,PFN-CoCaBO,vs. PFNs,griewank,103.0,2.7,2.2333333333333334,3.1666666666666665
104,PFN-CoCaBO,vs. PFNs,griewank,104.0,2.6666666666666665,2.2,3.1333333333333333
105,PFN-CoCaBO,vs. PFNs,griewank,105.0,2.6666666666666665,2.2,3.1
106,PFN-CoCaBO,vs. PFNs,griewank,106.0,2.6666666666666665,2.2333333333333334,3.1
107,PFN-CoCaBO,vs. PFNs,griewank,107.0,2.6666666666666665,2.2,3.1
108,PFN-CoCaBO,vs. PFNs,griewank,108.0,2.6666666666666665,2.2,3.1
109,PFN-CoCaBO,vs. PFNs,griewank,109.0,2.6,2.1666666666666665,3.033333333333333
110,PFN-CoCaBO,vs. PFNs,griewank,110.0,2.6,2.2,3.033333333333333
111,PFN-CoCaBO,vs. PFNs,griewank,111.0,2.6,2.1666666666666665,3.033333333333333
112,PFN-CoCaBO,vs. PFNs,griewank,112.0,2.6,2.1666666666666665,3.033333333333333
113,PFN-CoCaBO,vs. PFNs,griewank,113.0,2.6,2.1333333333333333,3.066666666666667
114,PFN-CoCaBO,vs. PFNs,griewank,114.0,2.6,2.1333333333333333,3.066666666666667
115,PFN-CoCaBO,vs. PFNs,griewank,115.0,2.6333333333333333,2.1666666666666665,3.066666666666667
116,PFN-CoCaBO,vs. PFNs,griewank,116.0,2.6333333333333333,2.2,3.1
117,PFN-CoCaBO,vs. PFNs,griewank,117.0,2.6333333333333333,2.2,3.033333333333333
118,PFN-CoCaBO,vs. PFNs,griewank,118.0,2.6,2.2,3.033333333333333
119,PFN-CoCaBO,vs. PFNs,griewank,119.0,2.6333333333333333,2.2,3.066666666666667
120,PFN-CoCaBO,vs. PFNs,griewank,120.0,2.6333333333333333,2.1666666666666665,3.033333333333333
121,PFN-CoCaBO,vs. PFNs,griewank,121.0,2.6333333333333333,2.1991666666666667,3.1
122,PFN-CoCaBO,vs. PFNs,griewank,122.0,2.6333333333333333,2.2,3.066666666666667
123,PFN-CoCaBO,vs. PFNs,griewank,123.0,2.6333333333333333,2.2325,3.033333333333333
124,PFN-CoCaBO,vs. PFNs,griewank,124.0,2.6666666666666665,2.2666666666666666,3.033333333333333
125,PFN-CoCaBO,vs. PFNs,griewank,125.0,2.6666666666666665,2.2666666666666666,3.066666666666667
126,PFN-CoCaBO,vs. PFNs,griewank,126.0,2.7,2.3,3.1
127,PFN-CoCaBO,vs. PFNs,griewank,127.0,2.7,2.3,3.066666666666667
128,PFN-CoCaBO,vs. PFNs,griewank,128.0,2.7,2.3,3.1
129,PFN-CoCaBO,vs. PFNs,griewank,129.0,2.7333333333333334,2.3333333333333335,3.1333333333333333
130,PFN-CoCaBO,vs. PFNs,griewank,130.0,2.8,2.433333333333333,3.2
