,optimizer,x_type,x_val,mean_overlap,lb,ub
169,pfn_bodi_24,Number of Training Data,169,0.7010354496541252,0.6920402363724953,0.7091853823680263
196,pfn_bodi_24,Number of Training Data,196,0.6947097424160381,0.6860705871549263,0.7036456766250437
4,CoCaBO_dummy_baseline,Number of Training Data,4,0.7737061598700338,0.7648266830627208,0.7825748970305525
9,CoCaBO_dummy_baseline,Number of Training Data,9,0.6834862529077204,0.6738916464823453,0.693523168940611
16,CoCaBO_dummy_baseline,Number of Training Data,16,0.6526580277275399,0.6418075182016358,0.6643548739745376
25,CoCaBO_dummy_baseline,Number of Training Data,25,0.6371782226444065,0.6259600235873988,0.6488711985918474
36,CoCaBO_dummy_baseline,Number of Training Data,36,0.6016740888519304,0.5901808566818713,0.612803513929739
49,CoCaBO_dummy_baseline,Number of Training Data,49,0.5756017945310714,0.5637013638187565,0.5881911761236064
64,CoCaBO_dummy_baseline,Number of Training Data,64,0.5564761839277381,0.5432096993186352,0.5694350661618952
81,CoCaBO_dummy_baseline,Number of Training Data,81,0.5460140026913499,0.5330691834408947,0.5592414119169624
100,CoCaBO_dummy_baseline,Number of Training Data,100,0.527037282801279,0.5127075233445243,0.5394244939471664
121,CoCaBO_dummy_baseline,Number of Training Data,121,0.5163565646973066,0.5020933268788362,0.5304499983623361
144,CoCaBO_dummy_baseline,Number of Training Data,144,0.505596400018526,0.4915814489058059,0.5197443896016009
169,CoCaBO_dummy_baseline,Number of Training Data,169,0.49290993783176407,0.47742775321601216,0.5078765389675607
196,CoCaBO_dummy_baseline,Number of Training Data,196,0.4839209448692466,0.470295542293919,0.4977911853496022
4,Casmopolitan_dummy_baseline,Number of Training Data,4,0.7958674996266247,0.7869050748938748,0.8041220187154036
9,Casmopolitan_dummy_baseline,Number of Training Data,9,0.7131208625050984,0.7034973793703502,0.7234077699726249
16,Casmopolitan_dummy_baseline,Number of Training Data,16,0.6831903476273959,0.6732346269880117,0.692734707057856
25,Casmopolitan_dummy_baseline,Number of Training Data,25,0.6533976957835745,0.64294855075569,0.6640121881104789
36,Casmopolitan_dummy_baseline,Number of Training Data,36,0.6383237326357859,0.627761597260992,0.6486151596781461
49,Casmopolitan_dummy_baseline,Number of Training Data,49,0.621217996682197,0.609794144599421,0.6325544218760126
64,Casmopolitan_dummy_baseline,Number of Training Data,64,0.6019363154549932,0.5898669590924558,0.6136704545234881
81,Casmopolitan_dummy_baseline,Number of Training Data,81,0.5884466023361262,0.5765579734228268,0.6005581759343579
100,Casmopolitan_dummy_baseline,Number of Training Data,100,0.5787583400255353,0.5646741334201043,0.591321318282584
121,Casmopolitan_dummy_baseline,Number of Training Data,121,0.5582322872853471,0.5448631390593776,0.5712413875982745
144,Casmopolitan_dummy_baseline,Number of Training Data,144,0.548236966736615,0.5348260381406518,0.562196239280549
169,Casmopolitan_dummy_baseline,Number of Training Data,169,0.5376413511577346,0.5244487395297327,0.5519887244607905
196,Casmopolitan_dummy_baseline,Number of Training Data,196,0.5264652611084112,0.5133935037702952,0.5405419144038833
4,BODi_dummy_baseline,Number of Training Data,4,0.8252676542149584,0.816867839454527,0.8333834501791125
9,BODi_dummy_baseline,Number of Training Data,9,0.7445051151217903,0.7343592371615992,0.7545677022031183
16,BODi_dummy_baseline,Number of Training Data,16,0.6892238026522927,0.6808185061255048,0.6978866697602067
25,BODi_dummy_baseline,Number of Training Data,25,0.6739541225671741,0.6638980186596624,0.6827131037991246
36,BODi_dummy_baseline,Number of Training Data,36,0.6391648587048718,0.6285307406178742,0.6490886285953626
